pass_id,labez,lesart
199,b,εξηλθεν απ αυτου κραξαν φωνη μεγαλη
200,a,φωνησαν
200,b,φωνησας
200,c,κραξαν
200,d,κραξας
200,e,ανεκραγεν (cf. 23b)
201,a,""
202,a,φωνη μεγαλη
202,b,φωνην μεγαλην
203,a,""
203,b,και (cf. 18e)
204,a,εξηλθεν εξ αυτου
204,b,εξηλθεν απ αυτου
204,c,απηλθεν απ αυτου
204,d,εξηλθεν
205,a,""
205,b,το δαιμονιον (cf. 10-14e)
206,a,εθαμβηθησαν απαντες
206,b,εθαμβηθησαν παντες
206,c,εξεθαμβηθησαν παντες
206,d,εθαμβησαν παντες
206,e,εθαμβησεν παντας
206,f,εθαυμασθησαν απαντες
206,g,εθαυμασαν παντες
206,h,εθαυμαζον παντες
206,i,εθαμβηθησαν
207,a,ωστε συζητειν
207,b,ωστε ζητειν
207,c,και συνεζητουν (cf. 16b)
208,a,προς εαυτους
208,b,προς αλληλους
208,d,αυτους
209,a,λεγοντας
209,b,λεγοντες
210,a,τι εστιν τουτο
210,b,τι εστιν τουτο τι εστιν η
210,c,τι εστιν τουτο τις εστιν η
210,d,τι εστιν τουτο η τις η
210,e,τι εστιν τουτο τις η
210,f,τι εστιν ουτος τις η
210,g,τι εστιν τουτο τις
210,h,τις η
211,a,διδαχη καινη
211,b,καινη διδαχη
211,c,διδαχη εκεινη η καινη αυτη
211,d,διδαχη η καινη αυτη
211,e,διδαχη αυτη η καινη
211,f,διδαχη καινη αυτη
211,g,καινη διδαχη αυτη
211,h,καινη αυτη διδαχη
211,i,διδαχη αυτη
212,a,κατ εξουσιαν και
212,b,οτι κατ εξουσιαν και
212,c,οτι κατ εξουσιαν
212,d,η εξουσιαστικη αυτου και οτι
212,e,η εξουσια οτι και
213,a,τοις πνευμασιν τοις ακαθαρτοις επιτασσει
213,b,τοις πνευμασιν επιτασσει τοις ακαθαρτοις
213,c,τοις πνευμασιν τοις ακαθαρτοις επιτασσειν
213,d,πνευμασιν τοις ακαθαρτοις επιτασσει
213,e,τοις ακαθαρτοις δαιμοσιν επιτασσει
214,a,υπακουουσιν
214,b,επακουουσιν
215,a,αυτω
215,b,αυτου
216,a,και εξηλθεν
216,b,εξηλθεν και
216,c,εξηλθεν δε
216,d,και εξηλθεν δε
216,e,εξηλθεν δε και
216,f,εξηλθεν
217,a,αυτου
